Autore,Titolo,Editore,Classificazione
Massimo Cotto,Il grande libro del rock (e non solo). Musica per tutti i giorni dell'anno,BUR Biblioteca Univ. Rizzoli,Musica
Simonetta Agnello Hornby,Boccamurata,Feltrinelli,Romanzo
Mauro Raccasi,Il guerriero di Stonehenge,Piemme,Romanzo
"Asne Seierstad, G. Paterniti",Il libraio di Kabul,Sonzogno,Romanzo
Scott Kelby,Il libro della fotografia digitale vol.2,Pearson,Fotografia
Scott Kelby,Il libro della fotografia digitale vol.3,Pearson,Fotografia
Scott Kelby,Il libro della fotografia digitale Vol.1,Pearson,Fotografia
"Glenn Cooper, G. P. Gasperi, V. Februari",Il libro delle anime,Nord,Romanzo
Ernesto Che Guevara,Latinoamericana,Mondadori,Autobiografico
"John Lloyd, John Mitchinson, A. Montrucchio",Il libro dell'ignoranza. Che cosa ? verit? e che cosa ? semplicemente una panzana? Il libro-gioco che svela le nostre false conoscenze,Einaudi,Sociologia
"Ken Arnold, James Gosling, David Holmes",Il linguaggio Java. Manuale ufficiale,Pearson Education Italia,Informatica
Andrea Camilleri,Il medaglione,Mondadori,Romanzo
"Gaetano Salvemini, S. Bucchi",Il ministro della mala vita,Bollati Boringhieri,Storia
Nino Taranto,Il muro del sorriso,CISU,Humor
Andrea Camilleri,Il nipote del Negus,Sellerio Editore,Romanzo
Betty Edwards,Il nuovo disegnare con la parte destra del cervello,Longanesi,Arte
Ivano Dionigi,Il presente non basta. La lezione del latino,Mondadori,Lingue
Carlos Ruiz Zafon,Il principe della nebbia,SEI,Romanzo
Frederick Forsyth,Il pugno di Dio,Mondadori,Romanzo
Doris Lessing,Il quinto figlio,Feltrinelli,Romanzo
Andrea Camilleri,Il re di Girgenti,Sellerio Editore Palermo,Romanzo
Tony Park,Il respiro della savana,TEA,Romanzo
"Glenn Cooper, M. Bottini",Il segno della croce,Nord,Romanzo
Christian Jacq,Il segreto dei geroglifici. Come entrare nel magico mondo degli antichi egizi,Piemme,Lingue
Roberto Giacobbo,Il segreto di Cheope: Alla ricerca del tesoro perduto delle piramidi (I volti della storia) (Italian Edition),Newton Compton,Archeologia
"Wilbur Smith, R. Rambelli",Il settimo papiro,La Gaja Scienza,Romanzo
"Dan Brown, A. Biavasco, V. Guani, N. Lamberti, A. Raffo, R. Scarabelli",Il simbolo perduto,Mondadori,Romanzo
Gaetano Pecora,La scuola laica: Gaetano Salvemini contro i clericali,Donzelli Editore,Politica
Piercamillo Davigo,Il sistema della corruzione,Laterza,Politica
Sigmund Freud,Il sogno e la sua interpretazione,Newton Compton,Psicologia
Andrea Camilleri,Il sonaglio,Sellerio Editore,Romanzo
Andrea Camilleri,Il tailleur grigio,Mondadori,Romanzo
Jean-Michel Thibaux,Il tesoro dell'abate Sauniére,Sonzogno,Romanzo
"Edward Luce, C. Melloni",Il tramonto del liberalismo occidentale,Einaudi. Stile Libero Extra,Economia
"Michel Benoìt, P. Lanterna",Il tredicesimo apostolo,Piemme,Romanzo
"Omero, M. Savini, V. Monti",Iliade. Ediz. integrale,I Minimammut,Classici
"Simone Casu, Giovanni Spinicchia",Impara a disegnare. Corso completo di disegno con il metodo Ve.ra.di. Vedere ragionare disegnare,Macro Edizioni Gold,Arte
Clinton Pierce,Imparare Perl in 24 ore. Con CD-ROM,Tecniche Nuove,Informatica
"Alberto Angela, L. Tarlazzi",Impero. Viaggio nell'Impero di Roma seguendo una moneta,Mondadori,Storia
Graham Hancock,Impronte degli dei,TEA,Storia
Jorge Volpi,In cerca di Klingsor,Mondadori,Romanzo
"Danila Comastri Montanari, L. Sanvito",In corpore sano,Hobby Work Publishing,Romanzo
"Corrado Augias, Mauro Pesce",Inchiesta su Gesu? : chi era l?uomo che ha cambiato il mondo,Mondadori,Religione
"Robert Andrews, Jules Brown, Phil Lee, Rob Humphreys",Inghilterra,Vallardi Viaggi,Viaggi
Oriana Fallaci,Insciallah,BUR Biblioteca Univ. Rizzoli,Romanzo
"John Peter Sloan, S. Pedroni",Instant english,Gribaudo,Lingue
Carlo Lucarelli,Intrigo italiano,Einaudi,Romanzo
vuoto,Introduzione a SQL,Addison Wesley,Informatica
Giorgio Faletti,Io sono Dio,Baldini Castoldi Dalai,Romanzo
Giorgio Faletti,Io uccido,Dalai Editore,Romanzo
Tim Vicary,Ireland: 700 Headwords (Oxford Bookworms Library),Oxford University Press,Lingue
"Margaret Greenwood, Geoff Wallis, Mark Connolly, Hildi Hawkins",Irlanda,Vallardi Viaggi,Viaggi
"Aldous Huxley, David Bradshaw",Island,Vintage Classics,Romanzo
Aaron E. Walsh,J2EE,McGraw-Hill Companies,Informatica
